DisplacementCategory,Original/Recap,Species,Sex,Date,Latitude,Longitude,TagNumber,DaysAtLiberty,TrackLength(m)
Short,Recap1,Nurse,Female,11/11/2016,25.626083,-80.088667,RJD1810,,
Short,Original,Lemon,Female,2/20/2014,25.6145469,-80.176408,RJD1824,232,2268.323329
Short,Recap1,Lemon,Female,10/10/2014,25.597333,-80.164167,RJD1824,,
Short,Original,Nurse,Male,2/20/2014,25.6194,-80.176117,RJD1828,786,4539.431307
Short,Recap1,Nurse,Male,4/16/2016,25.659667,-80.184567,RJD1828,,
Short,Original,Lemon,Male,3/27/2014,25.640917,-80.166067,RJD1829,16,1887.337
Short,Recap1,Lemon,Male,4/12/2014,25.6252,-80.1588,RJD1829,,
Short,Original,Lemon,Male,10/10/2014,25.597333,-80.164167,RJD1858,389,8975.036816
Short,Recap1,Lemon,Male,5/15/2015,25.56975,-80.196983,RJD1858,,
Short,Recap2,Lemon,Male,11/3/2015,25.597,-80.164,RJD1858,,
Short,Original,Lemon,Female,5/28/2015,25.651883,-80.132,RJD1873,135,10677.73951
Short,E,Lemon,Female,NA,25.7340031,-80.1421519,RJD1873,,
Short,Recap1,Lemon,Female,10/10/2015,25.731,-80.157,RJD1873,,
Short,Original,Nurse,Female,4/18/2014,25.608733,-80.160267,RJD1934,1062,1944.068694
Short,Recap1,Nurse,Female,3/15/2017,25.625,-80.15299,RJD1934,,
Short,Original,Nurse,Male,4/18/2014,25.608733,-80.160267,RJD1935,438,3109.775784
Short,Recap1,Nurse,Male,6/30/2015,25.604817,-80.190933,RJD1935,,
Short,Original,Nurse,Female,4/5/2014,25.6319183,-80.091967,RJD1944,1191,4569.190476
Short,Recap1,Nurse,Female,7/9/2017,25.672967,-80.0874,RJD1944,,
Short,Original,Lemon,Male,3/29/2014,25.633667,-80.18445,RJD1948,226,86.58838728
Short,Recap1,Lemon,Male,11/10/2014,25.633,-80.184,RJD1948,,
Short,Original,Lemon,Male,9/29/2015,25.590633,-80.16565,RJD1958,437,618.7933199
Short,Recap1,Lemon,Male,12/9/2016,25.594983,-80.161783,RJD1958,,
Short,Original,Lemon,Female,2/21/2015,25.619417,-80.18075,RJD1974,63,1180.681021
Short,Recap1,Lemon,Female,4/25/2015,25.619,-80.169,RJD1974,,
